sample_index,elapsed_ns,code
0,547,0
1,475,0
2,470,0
3,415,0
4,386,0
5,439,0
6,403,0
7,430,0
8,396,0
9,402,0
10,404,0
11,412,0
12,398,0
13,399,0
14,401,0
15,500,0
16,515,0
17,500,0
18,487,0
19,504,0
20,500,0
21,472,0
22,477,0
23,499,0
24,502,0
25,517,0
26,533,0
27,512,0
28,506,0
29,506,0
30,502,0
31,500,0
32,479,0
33,470,0
34,462,0
35,486,0
36,506,0
37,496,0
38,499,0
39,507,0
40,473,0
41,502,0
42,509,0
43,469,0
44,525,0
45,453,0
46,504,0
47,520,0
48,476,0
49,504,0
50,504,0
51,515,0
52,505,0
53,461,0
54,512,0
55,495,0
56,485,0
57,495,0
58,525,0
59,484,0
60,486,0
61,500,0
62,484,0
63,539,0
64,544,0
65,514,0
66,475,0
67,529,0
68,494,0
69,515,0
70,526,0
71,500,0
72,507,0
73,473,0
74,502,0
75,506,0
76,520,0
77,485,0
78,507,0
79,484,0
80,486,0
81,486,0
82,520,0
83,517,0
84,532,0
85,516,0
86,496,0
87,525,0
88,492,0
89,496,0
90,482,0
91,493,0
92,489,0
93,524,0
94,496,0
95,489,0
96,483,0
97,504,0
98,534,0
99,497,0
100,489,0
101,502,0
102,505,0
103,483,0
104,500,0
105,485,0
106,480,0
107,504,0
108,492,0
109,513,0
110,496,0
111,472,0
112,468,0
113,502,0
114,500,0
0,392,0
1,428,0
2,449,0
3,409,0
4,386,0
5,405,0
6,393,0
7,416,0
8,407,0
9,400,0
10,398,0
11,382,0
12,397,0
13,397,0
14,419,0
15,504,0
16,489,0
17,463,0
18,454,0
19,504,0
20,484,0
21,498,0
22,468,0
23,475,0
24,476,0
25,476,0
26,519,0
27,493,0
28,480,0
29,465,0
30,483,0
31,475,0
32,445,0
33,462,0
34,468,0
35,459,0
36,490,0
37,455,0
38,472,0
39,468,0
40,457,0
41,456,0
42,484,0
43,461,0
44,512,0
45,469,0
46,438,0
47,477,0
48,491,0
49,450,0
50,469,0
51,475,0
52,461,0
53,457,0
54,480,0
55,484,0
56,447,0
57,492,0
58,489,0
59,460,0
60,445,0
61,456,0
62,445,0
63,461,0
64,486,0
65,470,0
66,453,0
67,483,0
68,469,0
69,471,0
70,496,0
71,457,0
72,487,0
73,444,0
74,468,0
75,464,0
76,451,0
77,442,0
78,501,0
79,471,0
80,478,0
81,473,0
82,487,0
83,494,0
84,485,0
85,447,0
86,478,0
87,490,0
88,460,0
89,482,0
90,438,0
91,485,0
92,471,0
93,485,0
94,470,0
95,467,0
96,453,0
97,449,0
98,471,0
99,465,0
100,466,0
101,462,0
102,475,0
103,474,0
104,475,0
105,453,0
106,441,0
107,485,0
108,470,0
109,471,0
110,464,0
111,476,0
112,435,0
113,468,0
114,452,0
0,376,0
1,425,0
2,420,0
3,394,0
4,399,0
5,380,0
6,392,0
7,393,0
8,393,0
9,393,0
10,387,0
11,380,0
12,389,0
13,393,0
14,386,0
15,479,0
16,465,0
17,450,0
18,478,0
19,484,0
20,445,0
21,477,0
22,446,0
23,450,0
24,472,0
25,453,0
26,478,0
27,475,0
28,446,0
29,445,0
30,458,0
31,448,0
32,464,0
33,456,0
34,447,0
35,433,0
36,470,0
37,440,0
38,459,0
39,460,0
40,464,0
41,461,0
42,466,0
43,456,0
44,459,0
45,458,0
46,426,0
47,462,0
48,465,0
49,447,0
50,455,0
51,477,0
52,452,0
53,457,0
54,473,0
55,472,0
56,427,0
57,446,0
58,465,0
59,455,0
60,430,0
61,466,0
62,437,0
63,453,0
64,475,0
65,468,0
66,426,0
67,495,0
68,459,0
69,460,0
70,496,0
71,437,0
72,468,0
73,440,0
74,450,0
75,438,0
76,440,0
77,421,0
78,469,0
79,440,0
80,460,0
81,460,0
82,460,0
83,467,0
84,471,0
85,439,0
86,473,0
87,499,0
88,458,0
89,455,0
90,439,0
91,485,0
92,470,0
93,471,0
94,460,0
95,452,0
96,443,0
97,431,0
98,463,0
99,454,0
100,450,0
101,448,0
102,482,0
103,454,0
104,459,0
105,446,0
106,443,0
107,449,0
108,461,0
109,469,0
110,466,0
111,460,0
112,421,0
113,461,0
114,448,0
0,378,0
1,401,0
2,425,0
3,376,0
4,396,0
5,388,0
6,391,0
7,395,0
8,394,0
9,396,0
10,387,0
11,378,0
12,386,0
13,385,0
14,384,0
15,478,0
16,455,0
17,442,0
18,454,0
19,468,0
20,438,0
21,469,0
22,435,0
23,448,0
24,459,0
25,447,0
26,476,0
27,466,0
28,446,0
29,444,0
30,448,0
31,443,0
32,465,0
33,462,0
34,434,0
35,428,0
36,460,0
37,437,0
38,451,0
39,443,0
40,465,0
41,455,0
42,478,0
43,442,0
44,445,0
45,435,0
46,429,0
47,456,0
48,457,0
49,429,0
50,458,0
51,470,0
52,453,0
53,437,0
54,466,0
55,480,0
56,425,0
57,448,0
58,468,0
59,456,0
60,438,0
61,452,0
62,435,0
63,457,0
64,467,0
65,460,0
66,428,0
67,462,0
68,460,0
69,457,0
70,494,0
71,442,0
72,451,0
73,440,0
74,459,0
75,440,0
76,448,0
77,436,0
78,453,0
79,445,0
80,454,0
81,465,0
82,448,0
