sample_index,elapsed_ms,code
0,0.001767,0
1,0.001534,0
2,0.001365,0
3,0.001317,0
4,0.001298,0
5,0.001413,0
6,0.001298,0
7,0.001305,0
8,0.001217,0
9,0.00126,0
10,0.00117,0
11,0.001255,0
12,0.001187,0
13,0.00118,0
14,0.001193,0
15,0.00132,0
16,0.001342,0
17,0.001277,0
18,0.001304,0
19,0.001275,0
20,0.001312,0
21,0.00135,0
22,0.001338,0
23,0.001266,0
24,0.001292,0
25,0.00126,0
26,0.001318,0
27,0.001264,0
28,0.001337,0
29,0.001261,0
30,0.001311,0
31,0.00131,0
32,0.001306,0
33,0.001259,0
34,0.001261,0
35,0.001228,0
36,0.001302,0
37,0.00128,0
38,0.001328,0
39,0.001385,0
40,0.001281,0
41,0.001341,0
42,0.001294,0
43,0.001309,0
44,0.001328,0
45,0.001337,0
46,0.001286,0
47,0.00136,0
48,0.00128,0
49,0.001314,0
50,0.001384,0
51,0.001276,0
52,0.001275,0
53,0.00131,0
54,0.001264,0
55,0.001345,0
56,0.001242,0
57,0.001366,0
58,0.001278,0
59,0.001324,0
60,0.001234,0
61,0.001315,0
62,0.001338,0
63,0.001287,0
64,0.001289,0
65,0.001408,0
66,0.001223,0
67,0.001278,0
68,0.0013,0
69,0.00126,0
70,0.001247,0
71,0.001296,0
72,0.001262,0
73,0.001292,0
74,0.001221,0
75,0.001311,0
76,0.001273,0
77,0.001389,0
78,0.001272,0
79,0.001243,0
80,0.001283,0
81,0.001268,0
82,0.001289,0
83,0.001337,0
84,0.001352,0
85,0.001265,0
86,0.00135,0
87,0.001281,0
88,0.001292,0
89,0.001303,0
90,0.001378,0
91,0.001298,0
92,0.001236,0
93,0.001259,0
94,0.001281,0
95,0.001267,0
96,0.001262,0
97,0.001328,0
98,0.001283,0
99,0.001271,0
100,0.001264,0
101,0.001346,0
102,0.001269,0
103,0.001248,0
104,0.001271,0
105,0.001381,0
106,0.001336,0
107,0.001293,0
108,0.001259,0
109,0.001275,0
110,0.001301,0
111,0.00131,0
112,0.001276,0
113,0.001243,0
114,0.001265,0
0,0.001215,0
1,0.001275,0
2,0.001284,0
3,0.001229,0
4,0.001224,0
5,0.00129,0
6,0.001253,0
7,0.001222,0
8,0.001215,0
