case,q_rad,C_x_m,C_y_m,C_z_m,project_pos_error_m,project_angle_error_rad,builtin_pos_error_m,builtin_delta_z_m,corrected_pos_error_m
zero,"[0, 0, 0, 0, 0, 0]",-0.81725,-0.19145,-0.005490999999999991,0.0,0.0,0.0002999999999999947,0.0002999999999999947,0.0
J1_90deg,"[1.5707963267948966, 0, 0, 0, 0, 0]",0.19144999999999995,-0.81725,-0.005490999999999991,0.0,0.0,0.0002999999999999947,0.0002999999999999947,0.0
J2_minus90deg,"[0, -1.5707963267948966, 0, 0, 0, 0]",-0.09465000000000005,-0.19144999999999995,0.906409,0.0,0.0,0.00029999999999996696,0.00029999999999996696,0.0
J3_90deg,"[0, 0, 1.5707963267948966, 0, 0, 0]",-0.33035,-0.19145,-0.303091,0.0,0.0,0.00030000000000002247,0.00030000000000002247,0.0
J4_90deg,"[0, 0, 0, 1.5707963267948966, 0, 0]",-0.7226,-0.19145,0.089159,0.0,0.0,0.0002999999999999947,0.0002999999999999947,0.0
J5_90deg,"[0, 0, 0, 0, 1.5707963267948966, 0]",-0.8995500000000001,-0.10915000000000001,-0.005491000000000001,0.0,0.0,0.0002999999999999947,0.0002999999999999947,0.0
J6_90deg,"[0, 0, 0, 0, 0, 1.5707963267948966]",-0.81725,-0.19145,-0.005490999999999991,0.0,0.0,0.0002999999999999947,0.0002999999999999947,0.0
demo_home,"[0, -1.5707963267948966, 0, -1.5707963267948966, 0, 0]",-6.163341178408842e-17,-0.19144999999999995,1.001059,0.0,0.0,0.00029999999999996696,0.00029999999999996696,0.0
asymmetric,"[0.2, -0.6, 0.8, -0.5, 0.4, -0.2]",-0.7412199895206023,-0.3389677870947985,0.1702525728872227,0.0,2.852874999283909e-17,0.00030000000000002247,0.00030000000000002247,0.0
mixed_signs,"[-0.7, 0.4, -1.1, 0.3, -0.8, 1.2]",-0.6227134464016726,0.3068267650175225,0.0661815309489312,1.3877787807814457e-17,4.136591180363166e-17,0.0003000000000000086,0.0003000000000000086,1.3877787807814457e-17
